Name,Калорий на 100гр,Белки на 100гр,Жиры на 100гр,Углеводы на 100гр
Картошка,77,2,0.1,17
Инжир,,,,
Фолиевая кислота,,,,
Мандарины,,,,
Соус сливочно-чесночный,240,1,20,11
Абрикосы,,,,
Пластыри,,,,
Рюкзак,,,,
"Насадки для зубной щетки мягкие ",,,,
Аккумуляторы 18650,,,,
Пицца,,,,
Голубика,,,,
Матрас,,,,
Витамин Д,,,,
Ополаскиватель для рта,,,,
Кальмар сушеный вяленный,,,,
Тапки для дома,,,,
Батончики злаковый протеиновые,,,,
Клубника Свежая,,,,
"Терафлю, АнвиМакс, Фервекс",,,,
Морс,,,,
ОСАГО,,,,
Актимель Actimuno,,,,
Вакоуматор,,,,
Яйца,155,12.5,11.5,0.7
Курага,,,,
Телефон,,,,
Мыло,,,,
Губки для посуды,,,,
"Плоды лотоса «Вкусы мира» запеченные, 80 г",,,,
Мочалка для душа губка,,,,
Автодом покупка,,,,
Сливки,206,2.5,20,4
Пластыри,,,,
Клюква в сахарной пудре,,,,
Перец болгарский красный или желтый,27,1.3,0.1,5.3
Подарочные сертификаты,,,,
Копия ключей,,,,
Манго сушеный,,,,
Крабовое мясо,97,6.5,2.1,13
Печень трески,,,,
Квас,,,,
Зубная нить зубочистки флоссеры ,,,,
Апельсины,,,,
Автозапчасти. Защита переднего бампера для Ford С-max,,,,
Смузи,,,,
Творог зерненный,93,9,5,2.8
Мушмула,,,,
Хлебцы,,,,
Вишня вяленая или сушеная,,,,
Слива сушеная,,,,
Пекан,,,,
Цветная капуста,25,1.9,0.3,5
Бразильский орех,,,,
Сливы свежие,,,,
Maxi Hair for Men или Maxi Hair Plus,,,,
Ряженка,,,,
Кабачки,17,1.2,0.3,3.1
Лук сушеный жаренный,559,6,42,39
Мороженное,,,,
Творог обычный,121,16,5,3
Скумбрия,,,,
Картинг,,,,
Зубная паста,,,,
Очиститель воздуха от пыли,,,,
Омуль,225,17.9,17.1,0
Блины,,,,
Кубик магги maggi,,,,
Масло сливочное,,,,
Туалетная бумага,,,,
Питахайя вяленый или сушеный,,,,
Птитим,,,,
"Соус Кисло-сладки ",,,,
Гранат,,,,
Ватные диски,,,,
Мука пшеничная,340,12,1.1,70.6
Сухари для салата,,,,
Айва вяленая,209,2.7,0.1,49
Зарядное устройство для аккумулятора,,,,
"Для лица 2. Увлажнение Крем ",,,,
Сырники,260,9.1,14.9,22.3
Паштет,,,,
Пена гель для бритья,,,,
Сахар,400,0,0,100
Труселя,,,,
Грецкие орехи,654,15.2,65.2,13.7
"Лаваш , тортилья, лепешки",275,9.1,1,57.1
Йогурт питьевой любой,70,3,1.6,11
Колбаса вареная докторская,228,12,20,0
Гигиенические помада,,,,
Виноград,,,,
Кумкват,,,,
Ацикловир,,,,
Огурцы,14,0.8,0.1,2.5
Мясо,,,,
Ананас,,,,
Витамин А ретинола пальмитат,,,,
Лимоны,,,,
Жижа от комаров,,,,
Ирригатор,,,,
Тренажерка фитнес спорт,,,,
Кепку бейсболка,,,,
Кешью в йогурте,,,,
Кускус,,,,
Пудинг,,,,
Чурчхела,,,,
От моли,,,,
Домен регистрация,,,,
Капли для глаз,,,,
Кондиционер для волос,,,,
Компьютерные очки,,,,
Цукаты шишек,,,,
"Йогурт ложковый БЕЗ добавок не сладкий ",91,8.5,4.5,4
Маска для волос,,,,
Ватные палочки для ушей,,,,
Курица грудка,113,21.4,3.1,0.3
"Лекарства от живота , изжога",,,,
Майонез,614.6,0.3,67,2.6
Капуста,,,,
Скипасс ski pass официальные цены в кассе,,,,
Чак-чак,,,,
Печенье,506,6.2,20,60.3
Пирожные,,,,
Конфеты,,,,
Пишмание,,,,
"Кексы, пироги, штрудель",,,,
Вафли,,,,
Шоколадки,522,6,28,59
Батончики шоколадные,570,7.5,38,49
Вегета Vegeta,,,,
Патчи для глаз,,,,
Киви,,,,
Салат листовой,,,,
Сыр Творожный другие,214,7.2,19.2,3.2
Вода Есентуки,,,,
"Мезороллер, дермароллер, дермапен, дермаштамп",,,,
Холс,,,,
Лосьон для Сужение пор,,,,
Для лица. Очищение Умывалка пенка,,,,
Для лица. Глина для сужения пор,,,,
Шампунь,,,,
Кепка бейсболка,,,,
Кефир,40,3,2,4
Клубника сушеная вяленая,,,,
Финастерид,,,,
Посредники по доставки из стран,,,,
Нут жаренный,,,,
Отправки посылки доставка,,,,
Крекер,462,8.6,18.8,64.4
Кондиционер сплит система,,,,
Установка кондиционера,,,,
Бублики баранки,,,,
Драники,,,,
Ветчина,200,9,16,2
Сахарозаменитель Milford ,,,,
Творог мягкий сладкий творожок,110,6.6,3.6,12.9
Гидроизоляция,,,,
Халва,,,,
Плитка,,,,
Перекись водорода,,,,
Нашатырный спирт Аммиак раствор,,,,
Кукуруза жаренная снек,,,,
Стол для компа поднимающийся,,,,
Сервисы доставки готовой еды,,,,
Автосервис Шиномонтаж,,,,
Кровать маме,,,,
Стол кухонный маме,,,,
Вобэнзим,,,,
Маленькую бутылку для воды,,,,
Охотничьи колбаски,,,,
Слойка с ветчиной и сыром,,,,
Машинное моторное масло,,,,
Жидкость от запотевания очков,,,,
Касторовое масло,,,,
Булки для хотдога hotdog,,,,
Сосиски,,,,
Арахисовая паста,670,24,54,17.5
Моющее средство фери Fairy,,,,
Сим карты. Покупка новой в РФ,,,,
Сливы курсов сайты,,,,
Хлебные палочки,,,,
Рулет мясной куриный,,,,
Гель реминерализующий для зубов,,,,
Протеин,387,74,6.2,9.4
Макароны,330,11,1.5,69
Хлеб тостовый,300,8,6,54
"Лук репчатый обычный ",41,1.4,0,10.4
Гречка,350,13,3,68
Зелень петрушка укроп и т.д,,,,
Какао,350,24,15,10
Exponenta экспонента Напиток кисломолочный,60,12,0,2.5
Плов,,,,
Оладьи печеночные,,,,
Тыква,26,1,0.1,7
Томатная паста,64,2.8,0,16
Яичный белок,52,10.9,0.17,0.7
Овощи замороженные смесь,31.5,0.5,0.7,5.8
Масло растительное,899,0,100,100
Энергетик перед тренировкой предтреник,,,,
Рис,340,7.5,0.2,76
Домашний интернет,,,,
Сим карты. Тарифы сотовых операторов мобильный интернет,,,,
Дыня,35,0.6,0.3,9
Кокосовая стружка,693,13,65,14
Шампиньоны грибы,27.4,4.3,1,0.1
Для лица. Сыворотки тоники,,,,
Роутер с esim,,,,
Творог мягкий НЕ сладкий греческий,89,8.5,4.5,3.5
Мед,330,0,0,82
Молоко миндальное,24,0.4,1.2,2.9
Наггетцы из вкусно и точка,248,15.4,13,17.3
Пудинг Hyper High Protein,80,10,1.5,6
Йогурт ложковый С добавками сладкий,82,3.8,2.8,14
Семечки семяна подсолнечника,610,22.3,56.3,3.6
Чернослив,,,,
Для лица. Удаление милиумов налице,,,,
Отруби,350,12,4.5,62
Крахмал,317,0,0,80
Оксалиплатин 100 мг,,,,
Помпа инфузионная,,,,
Плавленный сырок,280,10,23,9.6
Фасоль,88,6.2,2,15.7
"Чеснок ",149,6,0.5,33
Чипсы нутовые,418,13,15.4,56.8
Пирожок с вишней с работы,260,6,3,53
От кашля боли в горле,,,,
Роти лепешка roti,311,6.5,15,37.8
Шнур удлинитель для ТВ антены,,,,
"Магнитный провод, шнур, кабель для зарядки телефона",,,,
Креветки,103,22.2,0,1.6
Для лица. Ретиноид,,,,
Для лица. BHA (салициловая кислота),,,,
Аренда прокат авто легковой,,,,
Индивидуальные беруши,,,,
"Очки маска горнолыжные ",,,,
"Бафф buff балаклава гейтор горнолыжная ",,,,
Витаон синий,,,,
Увлажнитель воздуха,,,,
Микротоковый массажер для лица,,,,
Сыр Творожный рикотта,214,7.2,19.2,3.2
Творожник со сметаной Из Лавки,225,10.1,12.5,17.9
Хашбраун,,,,
Торт,470,6,30,50
Затычки наконечник для магнитного провода,,,,
Адаптер зарядка для POCO M4 Pro,,,,
Лампа накаливания лампочка,,,,
Аренда прокат мотоцикла питбайка мотокрос,,,,
Булки выпечка из Ярче,316,6.3,15.3,38
Кимчи,41,1.7,0.6,7.1
Эклеры,271,4.5,17,25
Бурата сыр,255,17,20,2
Магазины flowwow флауфау,,,,
Пирожное Картошка,450,7,30,44
Банановый кекс с шоколадом,335,5,16,43
Хели ски heliski freeride фрирайд,,,,
Роза Хутор ски пасс ski pass аренда перепродажа,,,,
USB-C hub хаб разветвитель концентратор,,,,
Редька,,,,
К чаю в ярче,570,7.5,38,49
Соевый соус,,,,
Кировск Апатиты Хибины Аренда квартиры в,,,,
Автодом Аренда,,,,
Сочи Адлер Аренда квартиры,,,,
Эсто-Садок (сочи) Аренда квартиры,,,,
Москва → Сочи авиабилет,,,,
Сим карты. eSim для путешествий,,,,
"Удаление кератом Сургитрон ",,,,
Осьминог,164,29,2.1,4
Седация для гастроскопии ФГДС ЭГДС (эзофагогастродуоденоскопия),,,,
Робот для мойки окон,,,,
Тунец,104,23.6,0.6,1.1
"Автошкола. Водительские права категории А ",,,,
Чипсы,500,4,30,55
Котлеты из говядины,352,14,32,2
